Royalty Date,Title,ASIN/ISBN,Language,book_nick_name,Authors,Units Sold,Units Refunded,Net Units Sold,Marketplace,Royalty Type,Transaction Type,Royalty,Currency,Authors Count,Royalty USD,Royalty per Author (USD),BookType,Year Sold,Authors_Exploded
2018-11,Guide de conversation (phrasebook) en langue ewondo - part I: Trilingual Phrasebook : French-English-Ewondo,9781523314591,Ewondo,ewondo_phrasebook_guide_conversation_trilingue,"Claude Lionel Mvondo Edzoa, Shck Tchamna",2,0,2,Amazon.com,60%,Standard - Paperback,15.36,USD,3,15.36,5.12,Paper,2018,"['Claude Lionel Mvondo Edzoa', ' Shck Tchamna']"
2018-11,"African tales, Bamiléké fairy tales, English-French version: Contes africains, contes bamilekes, Anglais-Francais",9781518704451,English-French,english-french_african_tales_bamiléké_fairy_tales,Shck Tchamna,1,0,1,Amazon.com,60%,Standard - Paperback,4.21,USD,2,4.21,2.105,Paper,2018,['Shck Tchamna']
2018-10,Étude Comparative des Variantes Dialectales de L'unique Langue Bamiléké Part I: Comparative Study of the Bamileke dialects Part I,9781533014986,Nufi,bamileke_étude_comparative_mulb,Shck Tchamna,1,0,1,CreateSpace UK,,Standard,7.45,GBP,2,9.946595460614153,4.973297730307077,Paper,2018,['Shck Tchamna']
2018-10,Contes bamilekés racontés en medumba et traduits en français (Black and White): medumba (Bangangte) Fairy tales,9781519171191,Medumba,medumba_contes_bamilekes_black_white,Leopold Tchoumi,1,0,1,CreateSpace UK,,Standard,4.35,GBP,2,5.807743658210947,2.9038718291054737,Paper,2018,['Leopold Tchoumi']
2018-10,"African tales, Bamiléké fairy tales, English-French version: Contes africains, contes bamilekes, Anglais-Francais",9781518704451,English-French,english-french_african_tales_bamiléké_fairy_tales,Shck Tchamna,1,0,1,CreateSpace US,,Standard,4.14,USD,2,4.14,2.07,Paper,2018,['Shck Tchamna']
2018-10,"African tales, Bamiléké fairy tales, English-French version: Contes africains, contes bamilekes, Anglais-Francais",9781518704451,English-French,english-french_african_tales_bamiléké_fairy_tales,Shck Tchamna,1,0,1,CreateSpace US,,Standard,4.14,USD,2,4.14,2.07,Paper,2018,['Shck Tchamna']
2018-10,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,3.28,USD,2,3.28,1.64,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,"Contes africains, contes bamilékés racontés en nufi et traduits en français (Black and White): African's fairy tales",9781512310139,Nufi,nufi_contes_bamileke_black_white,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,5.44,EUR,2,6.347724620770129,3.1738623103850645,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,"Contes africains, contes bamilekés racontés en nufi et traduits en francais (Full Color): African's fairy tales",9781512166378,Nufi,nufi_contes_bamilekes,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,5.22,USD,2,5.22,2.61,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Guide de conversation (phrasebook) en langue fe'efe'e (nufi) - part I: Trilingual Phrasebook : French-English-Nufi,9781523385584,Nufi,nufi_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,7.99,GBP,2,10.667556742323098,5.333778371161549,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Contes bamilekés racontés en medumba et traduits en français (Version Couleur): medumba fairy tales,9781519205971,Medumba,medumba_contes_bamilekés,"Shck Tchamna, Leopold Tchoumi",1,0,1,CreateSpace UK,,Standard,3.46,GBP,3,4.619492656875835,1.5398308856252783,Paper,2018,"['Shck Tchamna', ' Leopold Tchoumi']"
